"","geodis","category","bray_all","category1"
"296",52.520107,"Local",0.943083003952569,"Local"
"297",88.15040398,"Local",0.810276679841897,"Local"
"298",88.15140076,"Local",0.698814229249012,"Local"
"299",88.18626796,"Local",0.623715415019763,"Local"
"300",88.40514412,"Local",0.619367588932806,"Local"
"301",89.43260397,"Local",0.642687747035573,"Local"
"302",93.72995428,"Local",0.80197628458498,"Local"
"303",0.419201783,"Local",0.752569169960474,"Local"
"304",2.514745434,"Local",0.726482213438735,"Local"
"305",6.706298,"Local",0.782213438735178,"Local"
"306",15.08940313,"Local",0.795652173913043,"Local"
"307",31.85561339,"Local",0.861264822134387,"Local"
"308",2.095543651,"Local",0.624901185770751,"Local"
"309",6.287096217,"Local",0.620158102766798,"Local"
"310",14.67020135,"Local",0.583399209486166,"Local"
"311",31.43641161,"Local",0.847430830039526,"Local"
"312",4.191552566,"Local",0.558893280632411,"Local"
"313",12.5746577,"Local",0.643083003952569,"Local"
"314",29.34086796,"Local",0.821739130434783,"Local"
"315",8.383105132,"Local",0.668379446640316,"Local"
"316",25.14931539,"Local",0.821343873517787,"Local"
"317",16.76621026,"Local",0.826482213438735,"Local"
"318",5.797789888,"Local",0.762055335968379,"Local"
"319",17.39336955,"Local",0.762055335968379,"Local"
"320",40.59567797,"Local",0.78300395256917,"Local"
"321",86.98914328,"Local",0.788142292490119,"Local"
"322",1.159557984,"Local",0.569565217391304,"Local"
"323",1.233789997,"Local",0.6,"Local"
"324",2.781740131,"Local",0.778656126482213,"Local"
"325",6.842053344,"Local",0.715810276679842,"Local"
"326",15.21640853,"Local",0.671541501976285,"Local"
"327",32.05131089,"Local",0.878656126482213,"Local"
"328",11.59557966,"Local",0.670750988142293,"Local"
"329",34.79788808,"Local",0.622529644268775,"Local"
"330",81.19135339,"Local",0.69802371541502,"Local"
"331",6.957347872,"Local",0.782608695652174,"Local"
"332",6.970104217,"Local",0.73201581027668,"Local"
"333",7.402580996,"Local",0.775098814229249,"Local"
"334",9.688854316,"Local",0.766403162055336,"Local"
"335",16.69130478,"Local",0.783794466403162,"Local"
"336",32.77725827,"Local",0.894071146245059,"Local"
"337",23.20230842,"Local",0.656521739130435,"Local"
"338",69.59577374,"Local",0.674703557312253,"Local"
"339",18.55292753,"Local",0.76403162055336,"Local"
